"MODEL_LINE_ID","MAKE_ID","GENERIC_NAME"
"37","13","1-Series"
"38","13","3-Series"
"39","13","5-Series"
"40","13","6-Series"
"41","13","7-Series"
"42","13","8-Series"
"43","13","M-Series"
"44","13","X-Series"
"45","13","Z-Series"
"46","43","ES-Series"
"47","43","GS-Series"
"48","43","GX-Series"
"49","43","IS-Series"
"50","43","LS-Series"
"51","43","LX-Series"
"52","43","RX-Series"
"53","43","SC-Series"
"54","47","A-Series"
"55","47","B-Series"
"56","47","C-Series"
"57","47","CE-Series"
"58","47","CL-Series"
"59","47","CLK-Series"
"60","47","CLS-Series"
"61","47","E-Series"
"62","47","G-Series"
"63","47","GL-Series"
"64","47","ML-Series"
"65","47","R-Series"
"66","47","S-Series"
"67","47","SL-Series"
"68","47","SLK-Series"
"69","47","V-Series"
"70","57","911-Series"
"71","9","A3-Series"
"72","9","A6-Series"
"73","9","RS-Series"
"74","46","MX-Series"
"75","57","Boxster-Series"
"76","57","Cayenne-Series"
"77","57","Cayman-Series"
"78","64","Altea-Series"
"79","70","Avensis-Series"
"80","70","Corolla-Series"
"81","70","Yaris-Series"
"82","74","Golf-Series"
"83","47","GLK-series"
"90","16338","Coupe"
"91","16338","Cabrio"
"92","16338","Clubman"
"93","16338","Countryman"
"94","16338","Roadster"
"95","16338","Paceman"
"96","47","CLA-Series"
"97","13","4-Series"
"98","13","2-series"
"99","74","Polo (alle)"
"100","74","Passat (alle)"
"101","74","Golf (alle)"
"102","47","GLA-Klasse (alle)"
"103","16338","John Cooper Works (alle)"
"104","74","T3 (alle)"
"105","74","T4 (alle)"
"106","74","T5 (alle)"
"107","14","B-series"
"108","14","D-series"
"109","14","Roadster"
"110","50431","Rallye"
"111","50431","Enduro"
"112","50431","Motocross"
"113","50431","Supermoto"
"114","47","GLE-Series"
